,designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5,w1-w2,H-Ks (2Mass),J-H (2Mass),H-K,J-H
143,J184046.68+075832.9,280.1945233,7.9758098,0.2023,0.2125,-0.0242,38.8470272,5.9840502,281.7992131,30.9984862,3301.456,3105.354,15.398,0.074,14.7,2.16,16.549,,0.7,1.26,12.15,0.319,3.4,0.81,8.301,,1.9,1.02,1.46,1,0,0.0,0.0,0.0,0.0,0,280.1948399,7.9754366,0.3648,0.4927,-0.1122,-26.0,637.0,-134.0,837.0,2.11,1.26,0.809,1.02,1.45,3Y174,0,0,1nnn,AUBU,5,11,26,30,1,30,0,16,0,16,29.67,30.189,15.972,16.354,1059001711.0,0.494,21.9,1,16.386,0.123,15.604,0.166,15.051,,-0.483571429,-1.485,-1.385,-2.642,2.099,-1.1509999999999998,0.552999999999999,0.782,0.5271084337349388,0.8438775510204083
297,J184134.61+080949.9,280.3942268,8.1638782,0.1759,0.1886,-0.039,39.1051621,5.8916125,282.0475215,31.1694937,2783.323,3597.276,15.268,0.065,16.7,1.31,16.801,0.421,2.6,1.33,12.632,,-2.7,0.875,9.098,,-1.3,1.05,1.19,1,0,0.001,0.0,0.0,0.0,9000,280.394215,8.1638824,0.208,0.2214,-0.0498,-336.0,400.0,125.0,431.0,1.31,1.33,0.875,1.05,1.19,1N000,0hHH,0,1nnn,ACUU,3,11,27,29,1,29,0,16,0,16,28.554,28.75,15.991,15.867,965931375.0,0.28,39.7,1,16.567,0.155,15.703,0.141,15.089,0.197,0.645142857,-1.372,-2.2123,-3.311,1.869,-1.5329999999999977,0.613999999999999,0.8640000000000008,0.5883534136546175,0.9275510204081641
700,J184126.55+080512.0,280.3606421,8.0866757,0.0826,0.0885,-0.0151,39.0208021,5.8867197,282.0012662,31.0953453,2870.52,3395.215,14.382,0.037,29.6,2.53,14.431,0.065,16.7,1.06,11.38,0.178,6.1,0.94,8.615,,1.2,1.12,1.53,1,0,0.0,0.0,0.0,0.0,0,280.3606372,8.0866627,0.1463,0.1544,0.0402,-100.0,243.0,-257.0,265.0,2.52,1.07,0.939,1.12,1.53,1N000,hh00,0,21nn,AABU,7,11,30,30,29,30,2,16,0,16,29.669,29.815,15.944,15.98,965930797.0,0.746,161.6,1,16.071,0.126,15.176,0.121,14.53,,1.27,0.308,-1.1778,-2.878,0.751,-0.04899999999999949,0.6460000000000008,0.8950000000000014,0.6204819277108441,0.9591836734693892
770,J184133.18+080054.9,280.3882691,8.0152739,0.1607,0.1688,-0.0364,38.9689777,5.830251,282.0261171,31.0219061,2799.041,3208.229,15.214,0.06,18.0,1.82,16.292,0.28,3.9,1.29,12.636,0.507,2.1,0.925,8.569,,1.0,0.831,1.32,1,0,0.0,0.0,0.0,0.0,0,280.3882524,8.0153178,0.2122,0.2225,-0.0409,-298.0,434.0,838.0,464.0,1.81,1.29,0.925,0.831,1.32,1N000,0,0,3nnn,ABCU,7,11,25,29,3,29,0,15,0,15,30.378,30.619,15.774,15.432,965930231.0,1.698,-27.8,1,16.362,0.151,15.494,0.132,14.877,,0.321857143,-1.201,-1.6621,-2.6306,1.356,-1.0780000000000012,0.6169999999999991,0.8679999999999986,0.5913654618473886,0.9316326530612231
1249,J184121.87+080208.1,280.3411372,8.035594,0.1131,0.1203,-0.0281,38.9661962,5.8810778,281.9738215,31.0460532,2921.189,3261.517,15.427,0.043,25.3,2.0,17.209,,-6.1,1.6,12.06,0.343,3.2,1.07,8.911,,0.6,0.857,1.5,2,0,0.0,0.0,0.0,0.0,0,280.341145,8.0355782,0.1884,0.1986,-0.0173,128.0,427.0,-245.0,459.0,2.0,1.6,1.07,0.857,1.5,1N000,0O00,0,1nnn,AUBU,5,11,29,29,1,29,0,16,0,16,29.831,29.834,17.25,18.053,965930371.0,0.546,-49.3,1,16.039,0.119,15.27,0.13,14.727,,1.185714286,-2.513,-1.674,-2.7367,2.849,-1.782,0.5429999999999993,0.7690000000000019,0.5170682730923687,0.8306122448979611
1619,J184105.97+080906.7,280.2748801,8.1518701,0.1415,0.1474,0.0299,39.0411322,5.9918378,281.9087626,31.16738,3092.654,3566.083,14.772,0.055,19.7,2.64,14.959,0.095,11.5,0.995,12.696,,-1.5,0.999,8.817,,1.2,0.877,1.5,1,0,0.0,0.0,0.0,0.0,0,280.2748739,8.1518787,0.148,0.1543,0.0293,-165.0,275.0,254.0,293.0,2.64,0.995,0.999,0.877,1.5,1N000,0h00,0,00nn,AAUU,3,11,29,29,17,29,0,16,0,16,29.425,29.537,16.366,16.551,1059003226.0,0.606,21.3,1,16.302,0.133,15.346,0.155,14.656,,-0.252285714,-0.1452,-2.1866,-2.6368,-0.037,-0.1869999999999994,0.6899999999999995,0.9559999999999995,0.6646586345381521,1.021428571428571
2110,J184111.96+080317.1,280.2998367,8.0547635,0.2445,0.2137,-0.0438,38.9649895,5.9262259,281.9281114,31.0685581,3028.211,3311.793,15.46,0.073,14.9,2.09,16.616,0.372,2.9,1.6,12.717,,-0.9,0.868,8.96,,-0.5,0.883,1.49,2,1,0.0,0.0,0.0,0.0,0,280.299807,8.0547481,0.2369,0.2093,-0.025,-707.0,417.0,-373.0,429.0,7.89,2.82,0.868,0.884,3.73,1N000,0h00,0,nnnn,ACUU,3,11,26,30,2,30,0,17,0,17,30.493,31.368,17.065,17.384,965930542.0,0.286,-28.9,1,16.244,0.16,15.27,0.101,14.602,,-0.389,-1.611,-1.9804,-2.9825,1.599,-1.1559999999999988,0.6679999999999993,0.9740000000000002,0.6425702811244972,1.039795918367347
613,J184134.36+080820.5,280.3931879,8.1390447,0.0294,0.0286,-0.0015,39.0823829,5.8813986,282.0438904,31.1448339,2786.062,3532.262,7.238,0.029,38.1,3.13,6.304,0.026,42.3,2.23,3.818,0.015,74.5,2.03,1.675,0.017,65.6,1.34,2.26,1,0,0.166,0.051,0.0,0.0,5700,280.3931914,8.1390428,0.0311,0.036,-0.0132,75.0,34.0,-35.0,36.0,3.15,2.21,2.05,1.33,2.26,1N000,hh00,1,110,AAAA,15,11,29,29,29,29,16,16,16,16,26.21,27.312,15.856,15.659,965931194.0,0.157,-7.7,1,12.386,0.049,10.8,0.043,9.137,0.027,1.884285714,1.702,6.2795,9.782,0.186,0.9340000000000002,1.6630000000000003,1.5859999999999985,1.6415662650602412,1.6642857142857128
1113,J184137.11+080008.0,280.4046498,8.0022333,0.1119,0.1198,-0.0184,38.9645751,5.8099042,282.043703,31.0075527,2756.595,3174.06,15.014,0.051,21.3,1.71,14.598,0.068,15.9,1.24,11.51,0.196,5.5,0.882,8.768,0.385,2.8,0.937,1.28,3,0,0.0,0.0,0.0,0.0,0,280.4046324,8.002254,0.1487,0.158,-0.03,-299.0,306.0,361.0,335.0,1.71,1.23,0.882,0.937,1.28,2N000,ddOd,0,10nn,AABC,15,11,28,30,24,30,2,16,1,16,29.751,30.336,15.979,15.792,965930125.0,1.21,56.3,1,16.218,0.12,15.528,0.13,15.221,0.198,0.901285714,0.052,-1.1945,-2.3774,0.788,0.4159999999999986,0.3070000000000004,0.6899999999999995,0.2801204819277112,0.7499999999999996
1634,J184143.63+081136.3,280.4318295,8.1934366,0.0324,0.0315,-0.0047,39.1484979,5.871593,282.093777,31.1958197,2685.824,3674.601,6.781,0.07,15.4,0.427,6.203,0.034,31.7,0.944,4.777,0.014,75.8,1.88,3.496,0.023,46.4,0.901,0.732,1,0,0.114,0.053,0.0,0.0,3700,280.4318238,8.1934601,0.0326,0.0314,0.0202,190.0,36.0,-2.0,35.0,0.438,0.85,1.89,0.87,0.698,1N009,000d,0,100,AAAA,15,11,29,29,29,29,14,14,15,15,20.59,26.247,15.902,16.43,965990707.0,0.281,-56.2,1,8.412,0.024,7.372,0.042,6.804,0.021,1.344828571,1.9259,6.594,6.3794,-0.874,0.5779999999999994,0.5679999999999996,1.040000000000001,0.5421686746987948,1.107142857142858
1824,J184144.34+080216.5,280.4347718,8.0379396,0.0336,0.0271,-0.0129,39.0101003,5.7992612,282.0818844,31.040629,2678.444,3267.496,5.379,0.139,7.8,0.134,4.606,0.075,14.5,0.388,2.919,0.01,107.1,2.97,1.909,0.018,60.6,0.938,0.493,1,0,0.21,0.202,0.084,0.0,2350,280.4347564,8.0379433,0.028,0.0265,0.0005,-728.0,47.0,148.0,44.0,0.144,0.386,2.53,0.947,0.463,1N001,0,0,100,BAAA,15,11,27,27,27,27,13,13,13,13,9.145,9.216,13.794,16.151,965991899.0,0.2,135.6,1,8.894,0.023,7.342,0.033,6.551,0.02,0.552214286,0.7621,9.4205,9.1824,-0.613,0.7729999999999997,0.7909999999999995,1.5520000000000005,0.7660642570281119,1.6295918367346944
2482,J184142.27+080600.3,280.4261605,8.1000956,0.0372,0.0359,0.004,39.0620987,5.8347577,282.0780668,31.1032818,2700.667,3430.239,11.207,0.023,47.0,1.65,10.635,0.021,51.7,1.39,9.159,0.033,32.7,1.15,7.497,0.145,7.5,0.875,1.35,1,0,0.0,0.0,0.0,0.0,0,280.4261594,8.1000946,0.0356,0.0362,-0.0252,-43.0,40.0,-34.0,38.0,1.65,1.39,1.15,0.875,1.35,3N000,0h00,0,5400,AAAB,15,11,30,30,30,30,15,15,7,15,30.498,30.748,15.947,15.801,965991436.0,0.079,-11.8,1,13.011,0.023,12.17,0.021,11.653,0.023,4.639714286,3.479,1.9385,-1.3752,-0.824,0.572000000000001,0.5169999999999995,0.8409999999999993,0.4909638554216862,0.9040816326530605
2527,J184133.69+080743.2,280.3903964,8.128681,0.0377,0.037,0.0056,39.0718246,5.8792223,282.039658,31.1347383,2793.316,3505.135,10.758,0.024,46.1,1.96,10.333,0.021,51.1,1.56,9.142,0.033,33.3,1.25,6.887,0.083,13.2,7.93,2.73,1,0,0.0,0.0,0.0,0.0,0,280.3903842,8.1286871,0.0551,0.0803,-0.0238,-105.0,52.0,-7.0,74.0,1.95,1.5,1.24,7.92,2.71,1N004,hhhH,1,100n,AAAA,15,11,28,28,28,28,15,15,14,15,29.025,28.83,14.99,15.855,965931119.0,0.094,1.3,1,13.102,0.026,12.137,0.024,11.58,0.027,4.193142857,3.252,1.9165,-7.286,-1.109,0.42499999999999893,0.5570000000000004,0.9649999999999999,0.5311244979919683,1.0306122448979589
561,J184051.50+080551.4,280.2145901,8.0976346,0.0329,0.0318,0.0047,38.9654856,6.0208897,281.8340284,31.1182635,3249.067,3424.246,7.885,0.024,44.8,2.12,7.776,0.021,52.8,1.76,6.762,0.017,65.8,2.0,6.132,0.052,20.8,1.06,1.79,1,0,0.049,0.0,0.0,0.0,9000,280.2145926,8.0976354,0.0341,0.0321,0.0062,90.0,36.0,62.0,34.0,2.11,1.77,1.96,1.06,1.79,1N000,0,0,0,AAAA,15,11,28,28,28,28,14,14,14,14,27.729,28.786,15.687,16.307,1059002761.0,0.19,140.4,1,9.646,0.021,8.579,0.044,8.127,0.025,3.850428571,3.224,5.226,1.097,-1.286,0.10899999999999999,0.45199999999999996,1.0670000000000002,0.42570281124497983,1.1346938775510205
613,J184134.36+080820.5,280.3931879,8.1390447,0.0294,0.0286,-0.0015,39.0823829,5.8813986,282.0438904,31.1448339,2786.062,3532.262,7.238,0.029,38.1,3.13,6.304,0.026,42.3,2.23,3.818,0.015,74.5,2.03,1.675,0.017,65.6,1.34,2.26,1,0,0.166,0.051,0.0,0.0,5700,280.3931914,8.1390428,0.0311,0.036,-0.0132,75.0,34.0,-35.0,36.0,3.15,2.21,2.05,1.33,2.26,1N000,hh00,1,110,AAAA,15,11,29,29,29,29,16,16,16,16,26.21,27.312,15.856,15.659,965931194.0,0.157,-7.7,1,12.386,0.049,10.8,0.043,9.137,0.027,1.884285714,1.702,6.2795,9.782,0.186,0.9340000000000002,1.6630000000000003,1.5859999999999985,1.6415662650602412,1.6642857142857128
1058,J184127.75+080049.3,280.3656486,8.013713,0.0341,0.0334,0.0016,38.9574771,5.8495715,281.9999182,31.0222235,2857.689,3204.183,7.248,0.031,35.0,1.32,7.443,0.02,53.6,1.13,7.071,0.018,60.3,1.12,6.681,0.067,16.1,0.971,1.15,1,0,0.063,0.0,0.0,0.0,4000,280.3656508,8.0137118,0.098,0.0434,0.0425,95.0,85.0,-60.0,41.0,1.34,1.11,1.1,0.971,1.14,3N000,0h00,0,0,AAAA,15,11,31,31,31,31,17,17,17,17,28.181,31.776,16.942,16.946,965930213.0,0.334,29.0,1,9.002,0.026,7.963,0.042,7.477,0.031,3.250428571,3.926,5.4165,0.2489,-1.928,-0.1949999999999994,0.48599999999999977,1.0390000000000006,0.4598393574297186,1.1061224489795924
1188,J184059.50+080912.1,280.2479431,8.1533631,0.0349,0.0327,0.0029,39.0304596,6.0163446,281.8778507,31.1710761,3162.461,3570.058,6.275,0.084,12.9,0.432,6.361,0.024,44.8,1.86,6.167,0.015,72.1,2.02,5.954,0.047,23.0,0.941,0.91,1,0,0.143,0.062,0.0,0.0,3700,280.2479506,8.1533836,0.035,0.0505,-0.0188,272.0,37.0,-29.0,47.0,0.435,1.66,1.98,0.945,0.86,1N008,hho0,0,111,AAAA,15,11,29,29,29,29,15,15,15,15,16.476,26.803,14.904,15.012,1059003238.0,0.027,114.4,1,7.812,0.03,6.833,0.034,6.439,0.031,0.981985714,2.318,5.9925,1.6586,-2.106,-0.08599999999999941,0.39400000000000013,0.9790000000000001,0.3674698795180724,1.0448979591836736
1557,J184126.19+081534.7,280.3591475,8.2596448,0.0346,0.0338,-0.0039,39.1755865,5.965572,282.0164474,31.2678324,2874.036,3848.058,6.922,0.061,17.8,0.412,7.07,0.02,54.0,1.59,6.945,0.016,67.2,1.43,6.695,0.077,14.2,0.78,0.705,1,0,0.103,0.0,0.0,0.0,4000,280.3591494,8.2596441,0.0347,0.0385,-0.0258,58.0,37.0,-20.0,38.0,0.413,1.58,1.44,0.78,0.703,1N000,0h00,0,1100,AAAA,15,11,28,28,28,28,14,14,14,14,22.22,30.644,15.303,15.733,965932132.0,0.133,122.4,1,8.239,0.027,7.313,0.027,7.054,0.024,1.702185714,3.509,5.969,0.0597,-2.175,-0.14800000000000058,0.25899999999999945,0.926000000000001,0.23192771084337294,0.9908163265306134
1634,J184143.63+081136.3,280.4318295,8.1934366,0.0324,0.0315,-0.0047,39.1484979,5.871593,282.093777,31.1958197,2685.824,3674.601,6.781,0.07,15.4,0.427,6.203,0.034,31.7,0.944,4.777,0.014,75.8,1.88,3.496,0.023,46.4,0.901,0.732,1,0,0.114,0.053,0.0,0.0,3700,280.4318238,8.1934601,0.0326,0.0314,0.0202,190.0,36.0,-2.0,35.0,0.438,0.85,1.89,0.87,0.698,1N009,000d,0,100,AAAA,15,11,29,29,29,29,14,14,15,15,20.59,26.247,15.902,16.43,965990707.0,0.281,-56.2,1,8.412,0.024,7.372,0.042,6.804,0.021,1.344828571,1.9259,6.594,6.3794,-0.874,0.5779999999999994,0.5679999999999996,1.040000000000001,0.5421686746987948,1.107142857142858
1824,J184144.34+080216.5,280.4347718,8.0379396,0.0336,0.0271,-0.0129,39.0101003,5.7992612,282.0818844,31.040629,2678.444,3267.496,5.379,0.139,7.8,0.134,4.606,0.075,14.5,0.388,2.919,0.01,107.1,2.97,1.909,0.018,60.6,0.938,0.493,1,0,0.21,0.202,0.084,0.0,2350,280.4347564,8.0379433,0.028,0.0265,0.0005,-728.0,47.0,148.0,44.0,0.144,0.386,2.53,0.947,0.463,1N001,0,0,100,BAAA,15,11,27,27,27,27,13,13,13,13,9.145,9.216,13.794,16.151,965991899.0,0.2,135.6,1,8.894,0.023,7.342,0.033,6.551,0.02,0.552214286,0.7621,9.4205,9.1824,-0.613,0.7729999999999997,0.7909999999999995,1.5520000000000005,0.7660642570281119,1.6295918367346944
2398,J184123.57+080515.6,280.3482104,8.0876898,0.0313,0.0302,-0.0062,39.0161658,5.898176,281.9870417,31.0973835,2902.742,3397.895,6.965,0.039,28.0,1.09,7.104,0.018,58.8,1.8,6.865,0.016,68.7,1.43,6.575,0.062,17.4,1.06,1.28,1,0,0.09,0.0,0.0,0.0,4000,280.3482126,8.0876889,0.0451,0.0313,0.0141,98.0,44.0,-55.0,32.0,1.09,1.76,1.4,1.06,1.28,1N000,0,0,111,AAAA,15,11,30,30,30,30,17,17,17,17,26.251,30.608,16.989,16.851,965930810.0,0.146,19.4,1,8.719,0.024,7.614,0.04,7.165,0.027,2.486428571,3.779,6.1585,0.422,-2.061,-0.13900000000000023,0.44899999999999984,1.1049999999999995,0.42269076305220865,1.1734693877551015
2662,J184120.15+075621.6,280.3339651,7.9393566,0.033,0.0329,-0.0049,38.8765249,5.8442671,281.9562152,30.9507415,2939.993,3009.571,8.111,0.024,45.1,1.57,7.774,0.021,52.9,1.56,7.101,0.017,63.3,1.04,6.759,0.072,15.1,0.989,1.36,1,0,0.0,0.0,0.0,0.0,9000,280.3339632,7.9393494,0.0356,0.0347,-0.0049,27.0,37.0,-192.0,35.0,1.59,1.45,1.04,0.99,1.34,3N001,0,0,8800,AAAA,15,11,30,30,30,30,17,17,16,17,31.16,31.529,16.848,16.688,965929603.0,0.088,2.1,1,9.458,0.022,8.487,0.057,7.949,0.017,4.445285714,3.431,5.8745,0.0307,-1.627,0.33700000000000063,0.5380000000000003,0.9710000000000001,0.5120481927710846,1.036734693877551
